"cells","groupID.1","groupID.2","groupID.3","groupID.4","groupID.5","groupID.6","groupID.7","groupID.8","groupID.9","groupID.10","groupID.11","groupID.12","groupID.13","groupID.14","groupID.15","groupID.16","groupID.17","groupID.18","groupID.19","groupID.20","groupID.21","groupID.22","groupID.23","groupID.24","groupID.25","groupID.26","groupID.27","groupID.28","x","y","wq"
1643,38762.6159219863,57782.3800956727,80571.8190333989,135559.376042172,130902.574833967,115248.304267849,24283.0823723401,123786.660054175,106347.249519962,70745.7806654779,33765.6246475914,100150.421692941,52578.3622172174,44011.5114450455,59080.8289610384,65270.5155233301,88579.6211005083,94941.7130444024,127272.317892168,137971.021328372,146704.36146474,150425.272623003,120903.831442025,111652.049913527,160329.95432615,178675.394531,24236.2907723645,39598.5282657287,649026.944475871,8147497.92254162,0.8059461361604
1645,35088.0178748567,54107.7820485431,76897.2209862695,131884.777995042,127227.976786837,111573.706220719,20608.4843252106,120112.062007045,102672.651472832,67071.1826183483,30091.0266004618,96475.823645812,48668.3126532506,40101.4618810786,55170.7793970716,61360.4659593633,84669.5715365417,91031.6634804357,123362.268328201,134060.971764406,142794.311900774,146515.223059036,116993.781878058,107742.00034956,156419.904762184,174765.344967034,18913.5321073745,35688.4787017619,655268.849922508,8147497.92254162,0.995396243190948
1670,74925.4631801839,58983.3017494832,33437.4067623514,34238.8380297732,29582.0368215682,3815.48036111467,96019.9499000745,15110.8697839731,8851.06589478674,49927.8659569412,82433.9373008422,17179.5071414184,155604.190965305,147037.340193134,162106.657709126,168296.344271418,191605.449848596,197967.54179249,230298.146640255,228488.51374835,225106.497335886,217288.848702597,223929.660190112,214677.878661614,207453.12915209,193011.822493801,125064.572029972,142624.357013817,733292.66800547,8147497.92254162,1.15058140431093
1671,76257.3780937538,60315.2166630531,34769.3216759214,31965.1170488545,27308.3158406495,5413.14461181676,97351.8648136443,11895.3427357056,12066.5929430543,51259.7808705111,83765.8522144121,20395.0341896859,156936.105878875,148369.255106703,163438.572622696,169628.259184988,192937.364762166,199299.456706059,231244.573404619,226214.792767431,222832.776354968,215015.127721679,225261.575103682,216009.793575184,205179.408171171,190738.101512882,126396.486943542,143956.271927387,736413.620728788,8147497.92254162,0.95398624209753
1672,78060.1960409981,62118.0346102974,36572.1396231657,30633.2021352846,25976.4009270796,7981.17998878197,99154.6827608885,9032.9929626939,15282.1199913218,53062.5988177554,85568.6701616564,23610.5612379534,158738.923826119,150172.073053948,165241.39056994,171431.077132232,194740.18270941,201102.274653304,232002.480398258,224882.877853862,221500.861441398,213683.212808109,227064.393050926,217812.611522428,203847.493257602,189406.186599312,128199.304890786,145759.089874631,739534.573452107,8147497.92254162,1.05471041903612
1673,80873.7822082322,64931.6207775315,39385.7257903998,29467.7765859109,24810.9753777059,10794.766156016,101968.268928123,6824.29012281204,18095.7061585558,55876.1849849895,88382.2563288905,26424.1474051875,161552.509993353,152985.659221182,168054.976737174,174244.663299466,197553.768876644,203915.860820538,233489.729326623,223717.452304488,220335.435892024,212517.787258735,229877.97921816,220626.197689662,202682.067708228,188240.761049939,131012.89105802,148572.676041865,742655.526175425,8147497.92254162,1.09125603557689
1674,84089.3092564996,68147.147825799,42601.2528386673,30133.7340426959,25476.9328344909,14010.2932042836,105183.79597639,5360.02857866087,21311.2332068233,59091.712033257,91597.783377158,29639.674453455,164768.037041621,156201.186269449,171270.503785442,177460.190347733,200769.295924911,207131.387868805,235802.890423583,224383.409761273,221001.393348809,213183.74471552,233093.506266427,223841.72473793,203348.025165013,188906.718506724,134228.418106288,151788.203090132,745776.478898744,8147497.92254162,1.09448505072701
1675,87304.8363047671,71362.6748740665,45816.7798869348,31465.6489562658,26808.8477480608,17225.8202525511,108399.323024658,4990.59676814585,24526.7602550909,62307.2390815246,94813.3104254255,32855.2015017225,167983.564089888,159416.713317716,174486.030833709,180675.717396001,203984.822973179,210346.914917073,237762.676048719,225715.324674843,222333.308262379,214515.65962909,236309.033314695,227057.251786197,204679.940078583,190238.633420293,137443.945154555,155003.7301384,748897.431622062,8147497.92254162,1.71610235360056
1701,68782.0897290247,87801.8539027109,110591.292840437,165578.849849209,160922.048641004,145267.778074887,54302.5561793786,153806.133861212,136366.723327,100765.254472516,63785.0984546298,130169.89549998,85261.6658513957,76694.8150792238,91764.1325952165,97953.8191575082,121262.924734686,127625.016678581,159955.621526345,170654.32496255,179387.665098918,183108.57625718,153587.135076202,144335.353547705,193013.257960328,211358.698165178,56919.5944065429,72281.8318999071,617817.417242686,8144357.17519215,0.725602627447341
1702,65566.5626807572,84586.3268544434,107375.76579217,162363.322800942,157706.521592737,142052.251026619,51087.029131111,150590.606812945,133151.196278733,97549.7274242485,60569.5714063623,126954.368451712,82046.1388031282,73479.2880309563,88548.605546949,94738.2921092407,118047.397686419,124409.489630313,156740.094478078,167438.797914282,176172.13805065,179893.049208913,150371.608027935,141119.826499437,189797.73091206,208143.17111691,53704.0673582754,69066.3048516396,620938.369966005,8144357.17519215,0.700758105846321
1703,62752.9765135231,81772.7406872094,104562.179624936,159549.736633708,154892.935425503,139238.664859385,48273.4429638769,147777.020645711,130337.610111499,94736.1412570144,57755.9852391282,124140.782284478,79232.5526358941,70665.7018637222,85735.019379715,91924.7059420067,115233.811519185,121595.903463079,153926.508310844,164625.211747048,173358.551883416,177079.463041679,147558.021860701,138306.240332203,186984.144744826,205329.584949676,50890.4811910413,66252.7186844055,624059.322689323,8144357.17519215,0.724281599723811
